차종,가격,연식,배기량,주행거리,색상,변속기,연료,선루프,LED헤드램프,어댑티드헤드램프,가죽시트,열선시트(앞좌석),통풍시트,후방센서,스마트키,네비게이션(순정),네비게이션(비순정),전손유무,소유자 이전 횟수,침수유무
기아 더 뉴 K9 3.8 VIP,"2,030만원",2015.04,"3,778 cc (334마력)","99,887 km",검정색,자동,가솔린,1,1,1,1,0,1,1,1,1,0,,,
현대 그랜저IG 2.4  프리미엄,"1,790만원",2017.07,"2,359 cc (190마력)","84,183 km",흰색,자동,가솔린,1,0,0,1,1,1,1,1,1,0,,,
현대 싼타페DM 2.0 디젤 2WD 프리미엄,"1,250만원",2012.12,"1,995 cc (184마력)","41,463 km",흰색,자동,디젤,1,0,0,1,0,0,1,1,0,0,,,
제네시스 G80 3.3 AWD 럭셔리,"1,590만원",2016.12,"3,342 cc (282마력)","159,063 km",회색,자동,가솔린,,,,,,,,,,,,,
쉐보레 리얼 뉴 콜로라도 3.6 V6 4WD  익스트림,"2,670만원",2020.11,"3,649 cc (312마력)","44,782 km",검정색,자동,가솔린,,,,,,,,,,,,,
제네시스 G80 3.3 AWD  프리미엄 럭셔리,"2,749만원",2016.07,"3,342 cc (282마력)","32,770 km",검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 2회, 침수분손 : 0 
기아 더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜,"3,070만원",2019.12,"3,342 cc (280마력)","67,795 km",흰색,자동,가솔린,,,,,,,,,,,,,
현대 더 뉴 그랜저 2.5 캘리그래피,"3,180만원",2019.12,"2,497 cc (198마력)","45,898 km",검정색,자동,가솔린,,,,,,,,,,,,,
기아 더 K9 3.8 AWD  베스트 셀렉션Ⅰ,"3,790만원",2020.08,"3,778 cc (315마력)","63,276 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 3.0 디젤 AWD 5인승,"4,239만원",2020.05,"2,996 cc (278마력)","102,000 km",회색,자동,디젤,,,,,,,,,,,,,
현대 더 뉴 그랜저 2.5 캘리그래피,"3,200만원",2020.06,"2,497 cc (198마력)","40,251 km",흰색,자동,가솔린,0,0,0,0,0,0,0,0,0,0,,,
제네시스 GV80 2.5 터보 AWD 5인승,"5,850만원",2021.03,"2,497 cc (304마력)","71,904 km",흰색,자동,가솔린,,,,,,,,,,,,,
현대 더 뉴 그랜저 2.5 익스클루시브,"3,230만원",2020.09,"2,497 cc (198마력)","22,064 km",검정색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV70 2.5 터보  스포츠,"5,280만원",2021.05,"2,497 cc (304마력)","44,558 km",검정색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
현대 쏘나타 하이브리드 2.0 HEV  인스퍼레이션,"2,570만원",2019.12,"1,999 cc (195마력)","78,514 km",흰색,자동,가솔린 하이브리드,1,1,1,0,1,1,1,1,1,0,,,
기아 더 뉴 카니발 2.2 디젤 9인승 하이리무진  노블레스 스페셜,"3,570만원",2019.07,"2,199 cc (202마력)","34,733 km",흰색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
제네시스 GV80 2.5 터보 AWD 5인승,"4,930만원",2020.05,"2,497 cc (304마력)","126,287 km",검정색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
현대 디 올 뉴 그랜저 2.5 2WD 캘리그래피,"4,690만원",2023.05,"2,497 cc (198마력)","4,826 km",흰색,자동,가솔린,1,1,1,0,1,1,1,1,1,0,,,
현대 더 뉴 그랜저 2.5  르블랑,"3,280만원",2021.06,"2,497 cc (198마력)","21,916 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV80 2.5 터보 AWD  5인승,"4,988만원",2021.01,"2,497 cc (304마력)","73,460 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"5,290만원",2023.05,"2,497 cc (304마력)","10,843 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV80 3.0 디젤 AWD  5인승,"4,580만원",2021.04,"2,996 cc (278마력)","109,280 km",청색,자동,디젤,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"5,799만원",2021.06,"2,497 cc (304마력)","54,968 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 3.0 디젤 AWD  5인승,"4,899만원",2020.03,"2,996 cc (278마력)","104,830 km",검정색,자동,디젤,,,,,,,,,,,,,
현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브,"2,680만원",2017.07,"2,359 cc (199마력)","59,380 km",흰색,자동,가솔린 하이브리드,1,1,1,1,1,1,1,1,1,0,,,
KG모빌리티 G4 렉스턴 2.2 디젤 4WD 5인승 유라시아 에디션,"1,880만원",2017.11,"2,157 cc (187마력)","70,000 km",검정색,자동,디젤,,,,,,,,,,,,,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  시그니처,"3,560만원",2020.07,"1,598 cc (230마력)","45,386 km",흰색,자동,가솔린 하이브리드,,,,,,,,,,,,,
현대 쏘나타 1.6 터보  인스퍼레이션,"2,599만원",2019.1,"1,598 cc (180마력)","38,036 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV70 2.5 터보 AWD 스포츠,"4,990만원",2021.06,"2,497 cc (304마력)","39,454 km",흰색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
기아 더 K9 3.8 AWD  베스트 셀렉션Ⅱ,"4,690만원",2020.1,"3,778 cc (315마력)","27,612 km",검정색,자동,가솔린,1,1,1,0,1,1,1,1,1,0,,,
현대 더 뉴 그랜저 2.5  익스클루시브,"3,190만원",2020.11,"2,497 cc (198마력)","46,502 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
현대 더 뉴 그랜저 2.5 프리미엄 초이스,"3,080만원",2021.01,"2,497 cc (198마력)","25,838 km",검정색,자동,가솔린,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"4,789만원",2022.06,"2,497 cc (304마력)","68,547 km",검정색,자동,가솔린,,,,,,,,,,,,,
현대 그랜저IG 3.0 LPi  모던,"2,090만원",2018.1,"2,999 cc (235마력)","63,989 km",흰색,자동,LPG,1,0,0,1,1,1,1,1,1,0,,,
현대 쏘나타 1.6 터보 인스퍼레이션,"2,430만원",2021.03,"1,598 cc (180마력)","36,339 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
제네시스 G80 3.3 AWD  프리미엄 럭셔리,"2,520만원",2017.09,"3,342 cc (282마력)","74,160 km",검정색,자동,가솔린,,,,,,,,,,,,,
제네시스 G80 3.3 터보 AWD 스포츠,"2,870만원",2016.11,"3,342 cc (370마력)","94,394 km",회색,자동,가솔린,,,,,,,,,,,,,
제네시스 EQ900 3.8  럭셔리,"2,170만원",2016.03,"3,778 cc (315마력)","76,188 km",검정색,자동,가솔린,1,0,1,1,0,1,1,1,1,0,,,
현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브,"2,199만원",2018.01,"2,359 cc (199마력)","60,110 km",회색,자동,가솔린 하이브리드,1,1,1,1,1,1,1,1,1,0,,,
기아 K8 2.5 노블레스,"3,270만원",2022.09,"2,497 cc (198마력)","19,207 km",검정색,자동,가솔린,,,,,,,,,,,,,
현대 뉴 에쿠스 3.8 VS380 모던,"1,850만원",2015.06,"3,778 cc (334마력)","108,838 km",흰색,자동,가솔린,1,0,0,1,0,1,1,1,1,0,,,
현대 베라크루즈 3.0 디젤 4WD 익스클루시브 스페셜,"1,560만원",2014.08,"2,959 cc (255마력)","114,108 km",검정색,자동,디젤,,,,,,,,,,,,,
현대 제네시스 DH G380 AWD  익스클루시브,"1,269만원",2014.05,"3,778 cc (315마력)","163,642 km",검정색,자동,가솔린,1,0,1,1,1,1,1,1,1,0,,,
제네시스 GV80 3.0 디젤 AWD 7인승,"4,890만원",2020.03,"2,996 cc (278마력)","83,860 km",회색,자동,디젤,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"4,950만원",2020.04,"2,497 cc (304마력)","55,591 km",회색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
현대 벨로스터 N 2.0 터보  퍼포먼스팩,"2,099만원",2020.06,"1,998 cc ()","77,456 km",검정색,자동,가솔린,,,,,,,,,,,,,
기아 모하비 더 마스터 3.0 디젤 4WD 5인승 마스터즈,"3,470만원",2019.11,"2,959 cc (260마력)","53,686 km",회색,자동,디젤,1,1,0,0,1,1,1,1,1,0,,,
현대 쏘나타 하이브리드 2.0 HEV  인스퍼레이션,"2,090만원",2021.01,"1,999 cc (195마력)","13,512 km",회색,자동,가솔린 하이브리드,1,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 2.5 터보 AWD 5인승,"5,099만원",2021.01,"2,497 cc (304마력)","92,393 km",흰색,자동,가솔린,,,,,,,,,,,,,
현대 베라크루즈 3.0 디젤 4WD  익스클루시브,799만원,2015.07,"2,959 cc (255마력)","304,007 km",은색,자동,디젤,,,,,,,,,,,,,
기아 셀토스 1.6 가솔린 터보 2WD  시그니처,"2,270만원",2022.04,"1,591 cc (177마력)","16,973 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV80 3.5 터보 AWD 5인승,"5,620만원",2020.12,"3,470 cc (380마력)","82,119 km",검정색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
제네시스 GV80 3.0 디젤 5인승,"5,350만원",2021.04,"2,996 cc (278마력)","83,557 km",흰색,자동,디젤,,,,,,,,,,,,,
제네시스 GV80 2.5 터보 AWD 5인승,"5,299만원",2020.07,"2,497 cc (304마력)","83,498 km",흰색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
제네시스 GV80 3.0 디젤 AWD  5인승,"4,580만원",2020.03,"2,996 cc (278마력)","140,972 km",검정색,자동,디젤,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"5,699만원",2021.02,"2,497 cc (304마력)","51,226 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
현대 더 뉴 그랜저 2.5 르블랑,"3,369만원",2021.12,"2,497 cc (198마력)","19,583 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 G90 2세대 3.5 터보 2WD  프리미엄 컬렉션,"7,990만원",2022.05,"3,470 cc (380마력)","49,447 km",흰색,자동,가솔린,,,,,,,,,,,,,
현대 싼타페DM 2.0 디젤 2WD 프리미엄,"1,380만원",2014.04,"1,995 cc (184마력)","84,585 km",흰색,자동,디젤,1,0,0,1,0,1,1,1,0,0,,,
현대 그랜저IG 3.0  익스클루시브,"2,099만원",2017.01,"2,999 cc (266마력)","49,574 km",흰색,자동,가솔린,0,0,0,1,0,1,0,1,1,0,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"5,790만원",2022.08,"2,497 cc (304마력)","18,363 km",흰색,자동,가솔린,,,,,,,,,,,,,
KG모빌리티 렉스턴 스포츠 2.2 디젤 4WD  프레스티지,"1,390만원",2018.02,"2,157 cc (181마력)","145,033 km",흰색,자동,디젤,0,0,0,1,0,1,1,1,0,0,,,
기아 스포티지 더 볼드 2.0 디젤 4WD 럭셔리,"1,550만원",2018.11,"1,995 cc (186마력)","67,000 km",흰색,자동,디젤,0,0,0,1,1,1,1,0,1,0,,,
현대 싼타페DM 2.2 디젤 4WD 프리미엄,"1,010만원",2012.05,"2,199 cc (200마력)","136,269 km",은색,자동,디젤,1,0,0,1,1,1,1,1,1,0,,,
기아 뉴 페이스 카렌스 2.0 LPi  GX 최고급형 패밀리,175만원,2009.11,"1,998 cc (141마력)","380,713 km",은색,수동,LPG,,,,,,,,,,,전손: 0 , 5회, 침수분손 : 0 
기아 뉴 쏘렌토R 2.0 디젤 2WD  TLX 스페셜,950만원,2012.12,"1,995 cc (184마력)","86,634 km",은색,자동,디젤,1,0,0,0,0,0,1,1,0,1,,,
기아 올 뉴 모닝 1.0 LPi 디럭스,580만원,2017.06,998 cc (),"110,000 km",은색,자동,LPG,0,0,0,0,0,0,0,0,0,0,전손: 0 , 4회, 침수분손 : 0 
기아 카니발 4세대  3.5 가솔린 9인승 하이리무진 시그니처,"4,950만원",2021.11,"3,470 cc (294마력)","40,000 km",검정색 (오로라 블랙 펄),자동,가솔린,,,,,,,,,,,,,
제네시스 더 올 뉴 G80  2.5 터보 AWD -,"6,590만원",2021.01,"2,497 cc (304마력)","6,600 km",흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
KG모빌리티 티볼리 에어 1.6 가솔린 2WD RX,"1,290만원",2017.02,"1,597 cc (126마력)","57,514 km",진청색,자동,가솔린,1,0,0,1,0,0,1,1,1,0,,,
기아 디 올 뉴 스포티지 하이브리드 1.6 터보 HEV 시그니처,"3,520만원",2022.02,"1,598 cc (230마력)","27,331 km",진청색,자동,가솔린 하이브리드,0,1,0,1,1,1,1,1,1,0,,,
쉐보레 더 뉴 스파크 1.0  프리미어,"1,070만원",2020.01,999 cc (75마력),"10,451 km",베이지색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 셀토스 1.6 가솔린 터보 2WD 시그니처,"2,910만원",2022.1,"1,598 cc ()","16,841 km",진청색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
쉐보레 더 뉴 스파크 1.0  마이핏 LT,"1,199만원",2021.12,999 cc (75마력),"11,633 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0 럭셔리,"1,199만원",2020.03,998 cc (76마력),"14,791 km",검정색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
기아 모닝 어반 1.0  시그니처,"1,550만원",2023.09,998 cc (76마력),"1,131 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,0,0,,,
쉐보레 더 뉴 스파크 1.0  마이핏 LT,"1,199만원",2021.12,999 cc (75마력),"11,633 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0 럭셔리,"1,199만원",2020.03,998 cc (76마력),"14,791 km",검정색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
기아 모닝 어반 1.0  시그니처,"1,550만원",2023.09,998 cc (76마력),"1,131 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,0,0,,,
기아 모닝 어반 1.0  시그니처,"1,260만원",2022.08,998 cc (76마력),"12,603 km",노란색,자동,가솔린,0,0,0,0,0,0,0,1,0,0,,,
기아 올 뉴 모닝 1.0  프레스티지,"1,050만원",2019.11,998 cc (),"21,328 km",검정색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0  프레스티지,"1,610만원",2023.06,998 cc (76마력),"15,497 km",베이지색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0 시그니처,"1,719만원",2022.09,998 cc (76마력),"10,978 km",진회색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
쉐보레 더 뉴 스파크 1.0  프리미어,"1,050만원",2021.11,999 cc (75마력),"12,629 km",검정색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
쉐보레 더 뉴 스파크 1.0  프리미어,"1,030만원",2021.08,999 cc (75마력),"31,543 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 모닝 어반 1.0  시그니처,"1,630만원",2023.09,998 cc (76마력),"12,184 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
르노코리아 XM3 1.6  LE,"1,660만원",2021.02,"1,598 cc (123마력)","15,395 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0  프레스티지,"1,350만원",2019.01,998 cc (78마력),"8,084 km",베이지색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
기아 더 뉴 레이 1.0  시그니처,"1,699만원",2022.11,998 cc (76마력),"22,912 km",진회색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
현대 올 뉴 아반떼 1.6  모던,"2,280만원",2023.01,"1,598 cc (123마력)",585 km,진회색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0 프레스티지,"1,730만원",2023.06,998 cc (76마력),"8,395 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0  시그니처,"1,710만원",2022.11,998 cc (76마력),"23,014 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0  프레스티지 베스트셀렉션,"1,389만원",2022.03,998 cc (76마력),"36,508 km",검정색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
기아 더 뉴 레이 1.0  시그니처,"1,580만원",2021.11,998 cc (76마력),"19,921 km",흰색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
기아 더 뉴 레이 1.0  프레스티지,"1,720만원",2023.02,998 cc (76마력),"7,515 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 디 올 뉴 스포티지 1.6 터보 2WD  시그니처,"3,220만원",2021.1,"1,598 cc (180마력)","14,520 km",흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
기아 디 올 뉴 스포티지 하이브리드 1.6 터보 HEV  프레스티지,"3,790만원",2023.08,"1,598 cc (230마력)","5,160 km",흰색,자동,가솔린 하이브리드,0,0,0,0,0,0,0,1,0,0,,,
기아 더 뉴 셀토스 1.6 가솔린 터보 4WD  그래비티,"3,139만원",2022.09,"1,999 cc ()","20,910 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 레이 1.0  시그니처,"1,390만원",2021.04,998 cc (76마력),"16,121 km",검정색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 모닝 어반 1.0  프레스티지,"1,329만원",2022.06,998 cc (76마력),"6,924 km",베이지색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
기아 더 뉴 K5 1.6 터보  노블레스,"3,380만원",2024.02,"1,598 cc (180마력)",136 km,진회색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
기아 더 뉴 셀토스 1.6 가솔린 터보 2WD  프레스티지,"2,960만원",2024.01,"1,598 cc ()","1,659 km",흰색,자동,가솔린,0,0,0,0,0,0,0,1,1,0,,,
현대 싼타페TM  2.2 디젤 2WD 인스퍼레이션,[계약],2019.04,"2,199 cc (202마력)","35,000 km",흰색,자동,디젤,0,0,0,1,1,1,1,1,1,0,,,
현대 그랜드스타렉스 2.5 디젤 왜건 11인승 4WD CVX 프리미엄,850만원,2017.01,"2,497 cc ()","24,092 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 디럭스,590만원,2012.11,"2,497 cc (174마력)","119,968 km",흰색,수동,디젤,0,0,0,1,1,0,1,0,0,0,전손: 0 , 1회, 침수분손 : 0 
현대 싼타페TM 2.0 디젤 2WD 익스클루시브,"2,090만원",2019.02,"1,995 cc (186마력)","58,000 km",진회색,자동,디젤,0,0,1,1,1,1,1,1,0,0,,,
기아 올 뉴 카니발 2.2 디젤 7인승 아웃도어 VIP,"1,590만원",2017.01,"2,199 cc (202마력)","105,000 km",흰색,자동,디젤,0,0,0,1,0,0,1,1,1,0,,,
기아 그랜드 카니발 2.9 디젤 11인승 하이리무진 GLX,890만원,2009.06,"2,902 cc (197마력)","165,000 km",흰색,자동,디젤,0,0,0,0,0,0,0,0,0,0,,,
현대 포터2 슈퍼캡 냉동탑차,590만원,2012.05,"2,497 cc ()","186,000 km",흰색,자동,디젤,,,,,,,,,,,,,
기아 레이 1.0 디럭스 스페셜,580만원,2015.03,998 cc (78마력),"110,000 km",은색,자동,가솔린,,,,,,,,,,,,,
기아 봉고3  파워게이트 -,670만원,2016.04,"2,497 cc (126마력)","258,000 km",흰색,수동,디젤,0,0,0,1,1,0,1,0,0,1,,,
기아 봉고3  CRDi 더블캡 초장축 GX 스페셜,599만원,2014.12,"2,497 cc ()","139,000 km",청색,수동,디젤,0,0,0,1,1,0,0,0,0,0,,,
기아 봉고3  CRDi 더블캡 초장축 노블레스,799만원,2016.07,"2,497 cc ()","192,000 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,1,0,,,
현대 포터2  CRDi 더블캡 초장축 모던,"1,580만원",2020.06,"2,497 cc ()","86,000 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,1,0,,,
현대 포터2  CRDi 더블캡 초장축 SUP 일반형,460만원,2012.04,"2,497 cc ()","220,000 km",흰색,수동,디젤,0,0,0,1,0,0,0,0,0,0,,,
쉐보레 스파크  1.0 LT,269만원,2012.1,995 cc (70마력),"160,000 km",빨간색,자동,가솔린,0,0,0,1,0,0,1,0,0,1,,,
기아 봉고3  CRDi 더블캡 초장축 GLX,530만원,2013.08,"2,497 cc ()","197,000 km",청색,수동,디젤,0,0,0,1,1,0,0,0,0,0,,,
현대 포터2  파워게이트 -,790만원,2016.11,"2,497 cc ()","181,000 km",청색,수동,디젤,0,0,0,1,0,0,0,0,0,0,,,
현대 포터2  CRDi 더블캡 초장축 SUP 기본형,399만원,2012.01,"2,497 cc ()","291,000 km",청색,수동,디젤,0,0,0,1,1,0,0,0,0,0,,,
현대 포터2  CRDi 더블캡 초장축 SUP 고급형,880만원,2016.11,"2,497 cc ()","168,000 km",청색,자동,디젤,0,0,0,1,0,0,0,0,0,1,,,
기아 봉고3  표준캡 초장축 GLX,699만원,2017.01,"2,497 cc (133마력)","161,000 km",흰색,수동,디젤,0,0,0,1,1,0,0,0,0,0,,,
현대 포터2  CRDi 더블캡 초장축 SUP 고급형,490만원,2012.09,"2,497 cc ()","210,000 km",청색,수동,디젤,0,0,0,1,1,0,0,0,0,0,,,
현대 포터2  냉동탑차 -,"1,580만원",2020.07,"2,497 cc ()","98,000 km",흰색,자동,디젤,0,0,0,1,1,0,0,0,0,1,,,
,,,,,,,,,,,,,,,,,,,,
기아 봉고3  CRDi 킹캡 초장축 리미티드,599만원,2016.04,"2,497 cc ()","260,000 km",청색,자동,디젤,0,0,0,1,1,0,0,0,0,0,,,
기아 봉고3  1.2톤 킹캡 초장축 노블레스,740만원,2015.06,"2,497 cc (133마력)","180,000 km",청색,수동,디젤,0,0,0,1,1,0,1,0,0,0,,,
현대 포터2 슈퍼캡 냉장탑차,490만원,2011.06,"2,497 cc ()","159,000 km",흰색,수동,디젤,0,0,0,1,1,0,0,0,0,0,전손: 0 , 9회, 침수분손 : 0 
현대 뉴 에쿠스 3.8 VS380 프라임,550만원,2011.06,"3,778 cc (334마력)","278,000 km",검정색,자동,가솔린,1,0,1,1,0,1,1,1,1,0,전손: 0 , 5회, 침수분손 : 0 
기아 더 뉴 쏘렌토  2.0 디젤 2WD 프레스티지,"2,330만원",2019.02,"1,995 cc (186마력)","35,000 km",흰색,자동,디젤,0,0,0,1,1,1,1,1,1,0,,,
현대 더 뉴 그랜저 2.5 르블랑,,2022.05,"2,497 cc (198마력)","32,100 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
쉐보레 리얼 뉴 콜로라도  3.6 V6 4WD Z71-X 미드나잇,"4,800만원",2020.1,"3,649 cc (312마력)","15,555 km",검정색,자동,가솔린,0,0,0,1,1,0,1,0,1,0,,,
현대 포터2 CRDi 더블캡  초장축 스마트,"1,180만원",2016.1,"2,497 cc ()","105,447 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,0,0,,,
제네시스 G90 2세대 3.5 터보 AWD,,2023.06,"3,470 cc (380마력)",50 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대 3.5 가솔린 9인승 프레스티지,,2023.06,"3,470 cc (294마력)",50 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대 3.5 가솔린 9인승 시그니처,,2023.06,"3,470 cc (294마력)",50 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 G90 2세대 3.5 터보 AWD 프리미엄 컬렉션,,2023.06,"3,470 cc (380마력)",500 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대 3.5 가솔린 9인승 프레스티지,,2023.09,"3,470 cc (294마력)",100 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
현대 엑센트  1.6 프리미엄,550만원,2014.05,"1,591 cc (140마력)","130,000 km",흰색,자동,가솔린,1,0,0,1,0,0,1,1,0,1,전손: 0 , 7회, 침수분손 : 0 
현대 그랜드스타렉스 캠핑카,690만원,2011.03,"2,497 cc (174마력)","280,000 km",흰색,자동,디젤,,,,,,,,,,,전손: 0 , 3회, 침수분손 : 0 
현대 포터2 더블캡 내장탑차,899만원,2014.11,"2,497 cc ()","101,564 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,0,1,,,
쉐보레 캡티바 2.2 디젤 4WD LT 프리미엄,890만원,2014.1,"2,231 cc (184마력)","120,000 km",진회색,자동,디젤,0,0,0,1,0,0,1,1,0,1,,,
현대 올 뉴 투싼  1.7 디젤 2WD 모던,"1,190만원",2015.06,"1,685 cc (141마력)","102,744 km",은색,자동,디젤,0,1,0,1,1,0,1,1,0,1,,,
기아 올 뉴 카니발 2.2 디젤 9인승  럭셔리,"1,450만원",2017.12,"2,199 cc (202마력)","110,000 km",검정색,자동,디젤,1,0,0,1,0,0,1,1,0,0,,,
쉐보레 이쿼녹스 1.6 디젤  프리미어,"1,690만원",2020.12,"1,598 cc (136마력)","41,000 km",흰색,자동,디젤,,,,,,,,,,,,,
기아 그랜드 카니발 R  2.2 디젤 GLX 고급형,680만원,2014.02,"2,199 cc (197마력)","79,400 km",흰색,수동,디젤,0,0,0,1,0,0,1,0,0,1,,,
현대 뉴 카운티  캠핑카 -,"5,880만원",2015.09,"3,933 cc (170마력)","345,000 km",진회색,수동,디젤,0,0,0,1,0,0,0,0,0,0,,,
GM대우 레스타  캠핑카 -,"5,880만원",2015.01,"3,760 cc ()","175,000 km",흰색,수동,디젤,0,0,0,1,0,0,0,1,0,1,,,
기아 뉴 카니발 R  2.2 디젤 리무진 GLX 최고급형,792만원,2013.1,"2,199 cc (197마력)","164,610 km",은색,자동,디젤,0,0,0,1,1,0,1,0,1,0,,,
현대 그랜드스타렉스  캠핑카 -,"2,280만원",2012.12,"2,497 cc (174마력)","236,309 km",흰색,자동,디젤,0,0,0,1,1,0,0,0,0,1,,,
현대 싼타페 더 프라임  2.0 디젤 2WD 익스클루시브,"1,680만원",2016.03,"1,995 cc (186마력)","165,882 km",은색,자동,디젤,0,0,0,1,1,1,0,1,0,0,,,
현대 그랜드스타렉스  캠핑카 -,"1,995만원",2011.11,"2,497 cc (174마력)","210,000 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,0,0,,,
현대 e마이티  2.5톤 더블캡 장축고상 슈퍼,"1,980만원",2012.09,"3,933 cc (145마력)","188,800 km",흰색,수동,디젤,0,0,0,0,0,0,0,0,0,1,,,
현대 뉴 카운티  캠핑카 -,"11,980만원",2023.01,"3,933 cc (170마력)",832 km,흰색,자동,디젤,0,0,0,1,1,1,1,0,1,0,,,
기아 봉고3  캠핑카 -,"3,880만원",2018.08,"2,497 cc (133마력)","32,000 km",흰색,자동,디젤,,,,,,,,,,,,,
현대 e-카운티  표준형 25인승 자가용 슈퍼,"1,180만원",2006.02,"3,907 cc (170마력)","140,055 km",빨간색,수동,디젤,0,0,0,0,0,0,1,0,0,1,,,
